SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
512393,SHARDUL SECU,X ,Q,31.00,32.55,31.00,31.10,31.00,31.00,3,26,807.00,
512425,NIRAV COMMER,X ,Q,220.50,220.50,199.50,199.50,199.50,210.00,2,2,420.00,
512437,APOLLO FIN I,X ,Q,37.75,39.95,37.75,37.75,37.75,39.70,11,3775,142569.00,
512453,SHRI JAGDAMB,X ,Q,212.95,212.95,199.85,199.85,199.85,203.00,9,1038,207720.00,
512455,LLOYDS MET E,X ,Q,9.44,9.44,9.06,9.10,9.10,9.35,26,10510,96042.00,
512489,OASIS SECUR.,X ,Q,25.00,25.00,25.00,25.00,25.00,25.00,2,118,2950.00,
512493,GARNET INTL ,XT,Q,32.00,32.00,31.50,31.50,31.50,33.00,3,150,4775.00,
512519,DONEAR IND. ,B ,Q,28.00,31.60,27.40,27.60,31.60,27.15,28,3066,85089.00,
512527,SUPER SAL IN,X ,Q,269.95,275.00,255.70,275.00,275.00,262.60,21,779,212280.00,
512529,SEQUENT     ,B ,Q,71.00,71.70,68.85,70.75,69.50,71.35,296,25904,1827094.00,XD
512531,STC INDIA   ,B ,Q,86.60,92.90,86.60,88.50,88.50,87.10,674,32322,2925687.00,
512553,ZENITH EXP. ,B ,Q,38.45,41.95,36.05,41.90,41.95,38.20,13,1901,71271.00,
512559,KOHINORFOODS,B ,Q,16.00,16.00,14.60,15.35,15.20,15.70,44,3521,54805.00,
512573,AVANTI FEEDS,A ,Q,304.55,304.80,295.20,296.65,297.00,304.35,454,11979,3589749.00,
512599,ADANI ENTER ,A ,Q,134.75,135.25,130.55,131.85,131.85,135.50,1191,393478,52043115.00,
512608,BHANDARI HOS,B ,Q,1.35,1.36,1.21,1.25,1.25,1.40,28,24553,30931.00,
512626,ORBIT EXPORT,B ,Q,114.60,120.00,114.55,118.50,117.50,116.00,18,10141,1201179.00,
512634,SAVERA IND  ,X ,Q,48.00,48.00,45.05,46.00,46.00,46.00,24,3169,145367.00,
513005,VBC FERRO   ,XT,Q,24.10,24.10,24.10,24.10,24.10,23.00,1,1,24.00,
513010,TATA SPONGE ,B ,Q,440.00,445.95,432.40,434.75,433.45,439.55,431,3751,1643113.00,
513023,NAV BHAR VEN,A ,Q,89.35,89.50,85.25,87.05,85.25,89.85,61,4861,424515.00,
